image,name,location,other photos
آبشار-کلوگان.jpg,Kelogan Waterfall,"https://www.google.com/maps/place/Kelogan+Waterfall/@35.8985018,51.5618937,13z/data=!4m6!3m5!1s0x3f8e11e2180ee0ab:0xae53379894366dfc!8m2!3d35.887081!4d51.567816!16s%2Fg%2F11jgs01t63?entry=ttu",
"آرامگاه-ابن-بابویه،-برج-طغرل.jpg",The Tomb of Ibn Babawayh,"https://www.google.com/maps/place/The+Tomb+of+Ibn+Babawayh/@35.6022985,51.4437044,15z/data=!4m6!3m5!1s0x3f91fc08d410ad91:0xfb0991a3d176d665!8m2!3d35.6022985!4d51.4437044!16s%2Fg%2F120t9s5h?entry=ttu",
آزادی-2.jpg,Azadi Tower,"https://www.google.com/maps/place/Azadi+Tower/@35.6997331,51.3380361,15z/data=!4m6!3m5!1s0x3f8dfe05732c2e91:0xfcbec017befd15f4!8m2!3d35.6997331!4d51.3380361!16zL20vMDR4ZHMw?entry=ttu",
بازار-تجریش.jpg,Tajrish Traditional Bazaar,"https://www.google.com/maps/place/Tajrish+Traditional+Bazaar/@35.8053576,51.4305997,15z/data=!4m6!3m5!1s0x3f8e05e3cda369bb:0x4b68b4fb098aec74!8m2!3d35.8053576!4d51.4305997!16s%2Fg%2F11b6g5ssds?entry=ttu",
باغ-ایرانی-تهران-سفرزون.jpeg,Persian Garden,"https://www.google.com/maps/place/Persian+Garden/@35.7715191,51.3911724,14.75z/data=!4m6!3m5!1s0x3f8e0652c1e4839d:0x9577197347d8fc47!8m2!3d35.772!4d51.3902955!16s%2Fg%2F11b7nzb3g9?entry=ttu",
باغ-فردوس.jpg,Ferdows Garden,"https://www.google.com/search?tbs=lf:1,lf_ui:1&tbm=lcl&sxsrf=APwXEdfsBT0nZt0vvSNAPoPtxX2CtW7fTg:1687556994706&q=%D8%A8%D8%A7%D8%BA+%D9%81%D8%B1%D8%AF%D9%88%D8%B3&rflfq=1&num=10&ved=2ahUKEwi2qdTZr9r_AhV2iv0HHTd6AOAQtgN6BAgUEAI#rlfi=hd:;si:;mv:[[35.83950579639019,51.55406403062965],[35.68935049944031,51.177095646840584]]",
باغ-موزه-قصر.jpg,Museum of the Qasr Prison,"https://www.google.com/maps/place/Museum+of+the+Qasr+Prison/@35.7235018,51.448297,15z/data=!4m6!3m5!1s0x3f8e03c6f0000001:0xf71ac9f4f900d01c!8m2!3d35.7235018!4d51.448297!16s%2Fm%2F02qgjmx?entry=ttu",
باغ-مینیاتور.jpg,Miniature Garden Museum inheritance of iran,"https://www.google.com/maps/place/Tehran+Province,+Tehran%D8%8C+%D8%A2%D8%AF%D8%B1%D8%B3+:+%D8%AE%DB%8C%D8%A7%D8%A8%D8%A7%D9%86+%D8%AC%D8%A7%D9%86%D8%A8%D8%A7%D8%B2%D8%A7%D9%86+%D8%BA%D8%B1%D8%A8%DB%8C+%D8%AD%D8%AF%D9%81%D8%A7%D8%B5%D9%84+%D8%A7%D8%AA%D9%88%D8%A8%D8%A7%D9%86+%D8%A7%D9%85%D8%A7%D9%85+%D8%B9%D9%84%DB%8C+(%D8%B9)+%D9%88+%D8%AE%DB%8C%D8%A7%D8%A8%D8%A7%D9%86+%DA%A9%D8%B1%D9%85%D8%A7%D9%86+%D9%BE%D9%84%D8%A7%DA%A9+243,+Golbarg+Park+Way,+Miniature+Garden+Museum+inheritance+of+iran%E2%80%AD/@35.733241,51.4785512,15z/data=!4m6!3m5!1s0x3f8e030f4ad2ba31:0x2ed4ded1c1a55401!8m2!3d35.733241!4d51.4785512!16s%2Fg%2F11bvtdqyl8?entry=ttu",
باغ-نگارستان-2.jpg,Negarestan Museum Garden,"https://www.google.com/maps/place/Negarestan+Museum+Garden/@35.6949336,51.4328287,15z/data=!4m6!3m5!1s0x3f8e0227ba3f44c3:0xa4355bb964f1b6e!8m2!3d35.6949336!4d51.4328287!16s%2Fg%2F12321bqj?entry=ttu",
باغ-پرندگان-تهران.jpg,Tehran Birds Garden,"https://www.google.com/maps/place/Tehran+Birds+Garden/@35.7682186,51.5294459,15z/data=!4m6!3m5!1s0x3f8e1cba298a07f9:0x4be92952ae57b755!8m2!3d35.7682186!4d51.5294459!16s%2Fg%2F12ckhp8ph?entry=ttu",
باغ-کتاب-تهران.jpg,Tehran Book Garden,"https://www.google.com/maps/place/Tehran+Book+Garden/@35.7519487,51.4326001,15z/data=!4m6!3m5!1s0x3f8e041cdb7e50af:0xb6ee8f5c9f83536e!8m2!3d35.7519487!4d51.4326001!16s%2Fg%2F1hb_f69qy?entry=ttu",
بوستان-پلیس-1.jpg,Police Park,"https://www.google.com/maps/place/Police+Park/@35.7598749,51.5453025,15z/data=!4m6!3m5!1s0x3f8e1cee5121284f:0x224de0f5c0b1f20c!8m2!3d35.7598749!4d51.5453025!16s%2Fg%2F120rs0g1?entry=ttu",
تئاتر-شهر.jpg,City Theatre,"https://www.google.com/maps/dir//Tehran+Province,+Tehran,+District+11,+Enghelab+St,+PC24%2B364/@35.7003494,51.4052861,19z/data=!4m8!4m7!1m0!1m5!1m1!1s0x3f8e010c18398917:0xf821ac41f664417a!2m2!1d51.4055628!2d35.7003877?entry=ttu",
